country,clf,feat_set,inc,auc_score,N,N_p,N_n
AT,RF,appended,4,0.9807671906437279,4946,456,4490
AT,RF,appended,5,0.9801590759928128,4946,456,4490
AT,RF,appended,6,0.9858885553511292,4946,456,4490
AT,RF,appended,7,0.986777971444864,4946,456,4490
AT,RF,appended,8,0.9891708896850757,4946,456,4490
AT,XGB,inc-only,1,0.9048962805160152,4946,456,4490
AT,XGB,inc-only,2,0.9044124893752085,4946,456,4490
AT,XGB,inc-only,3,0.9348407626179486,4946,456,4490
AT,XGB,inc-only,4,0.9730545603219178,4946,456,4490
AT,XGB,inc-only,5,0.9560247140720657,4946,456,4490
AT,XGB,inc-only,6,0.962161001904393,4946,456,4490
AT,XGB,inc-only,7,0.942687023229291,4946,456,4490
AT,XGB,inc-only,8,0.9768718999817092,4946,456,4490
AT,XGB,appended,1,0.9110013126324736,4946,456,4490
AT,XGB,appended,2,0.9479618153061554,4946,456,4490
AT,XGB,appended,3,0.9646367666204018,4946,456,4490
AT,XGB,appended,4,0.9786433620606177,4946,456,4490
AT,XGB,appended,5,0.9806169910590361,4946,456,4490
AT,XGB,appended,6,0.9860236381438086,4946,456,4490
AT,XGB,appended,7,0.9872940942297967,4946,456,4490
AT,XGB,appended,8,0.9898898249464726,4946,456,4490
AU,CART,inc-only,1,0.6843347375954052,35532,3336,32196
AU,CART,inc-only,2,0.6710174166378998,35532,3336,32196
AU,CART,inc-only,3,0.71270078953387,35532,3336,32196
AU,CART,inc-only,4,0.8121936047597469,35532,3336,32196
AU,CART,inc-only,5,0.763452569481834,35532,3336,32196
AU,CART,inc-only,6,0.8010992302171189,35532,3336,32196
AU,CART,inc-only,7,0.8197711441204851,35532,3336,32196
AU,CART,inc-only,8,0.8622164847425083,35532,3336,32196
AU,CART,appended,1,0.6862424406385884,35532,3336,32196
AU,CART,appended,2,0.7518061227951903,35532,3336,32196
AU,CART,appended,3,0.800090294597921,35532,3336,32196
AU,CART,appended,4,0.8375083198291728,35532,3336,32196
AU,CART,appended,5,0.8513079683031272,35532,3336,32196
AU,CART,appended,6,0.859606355200624,35532,3336,32196
AU,CART,appended,7,0.8691887131211481,35532,3336,32196
AU,CART,appended,8,0.8834960216814349,35532,3336,32196
AU,RF,inc-only,1,0.9210355577967843,35532,3336,32196
AU,RF,inc-only,2,0.9162436140167111,35532,3336,32196
AU,RF,inc-only,3,0.9355204967559532,35532,3336,32196
AU,RF,inc-only,4,0.9762263004501803,35532,3336,32196
AU,RF,inc-only,5,0.9627824259355537,35532,3336,32196
AU,RF,inc-only,6,0.9653351699590444,35532,3336,32196
AU,RF,inc-only,7,0.9598214023098887,35532,3336,32196
AU,RF,inc-only,8,0.9827549617711123,35532,3336,32196
AU,RF,appended,1,0.9214744847268256,35532,3336,32196
AU,RF,appended,2,0.9537244732584039,35532,3336,32196
AU,RF,appended,3,0.9695103666290453,35532,3336,32196
AU,RF,appended,4,0.9825638707996706,35532,3336,32196
AU,RF,appended,5,0.9848933005859295,35532,3336,32196
AU,RF,appended,6,0.9882961502038229,35532,3336,32196
AU,RF,appended,7,0.989153275341768,35532,3336,32196
AU,RF,appended,8,0.9922522535569044,35532,3336,32196
AU,XGB,inc-only,1,0.9246612622699355,35532,3336,32196
AU,XGB,inc-only,2,0.9281490974518675,35532,3336,32196
AU,XGB,inc-only,3,0.9468195412385593,35532,3336,32196
AU,XGB,inc-only,4,0.9795556135726171,35532,3336,32196
AU,XGB,inc-only,5,0.9683214831540294,35532,3336,32196
AU,XGB,inc-only,6,0.9698063500617388,35532,3336,32196
AU,XGB,inc-only,7,0.9665935138352186,35532,3336,32196
AU,XGB,inc-only,8,0.9854221959990034,35532,3336,32196
AU,XGB,appended,1,0.9270333160087085,35532,3336,32196
AU,XGB,appended,2,0.9574705146116821,35532,3336,32196
AU,XGB,appended,3,0.9722621304330226,35532,3336,32196
AU,XGB,appended,4,0.9843144354319269,35532,3336,32196
AU,XGB,appended,5,0.987339493814965,35532,3336,32196
AU,XGB,appended,6,0.9898832224275042,35532,3336,32196
AU,XGB,appended,7,0.9911064326815545,35532,3336,32196
AU,XGB,appended,8,0.9932014451884794,35532,3336,32196
AZ,CART,inc-only,1,0.6965128205128206,2050,100,1950
AZ,CART,inc-only,2,0.707923076923077,2050,100,1950
AZ,CART,inc-only,3,0.6580769230769231,2050,100,1950
AZ,CART,inc-only,4,0.7574358974358975,2050,100,1950
AZ,CART,inc-only,5,0.7232820512820513,2050,100,1950
AZ,CART,inc-only,6,0.7592051282051282,2050,100,1950
AZ,CART,inc-only,7,0.7435641025641025,2050,100,1950
AZ,CART,inc-only,8,0.8202564102564103,2050,100,1950
AZ,CART,appended,1,0.6544871794871795,2050,100,1950
AZ,CART,appended,2,0.7234358974358974,2050,100,1950
AZ,CART,appended,3,0.7213589743589743,2050,100,1950
AZ,CART,appended,4,0.7357435897435898,2050,100,1950
AZ,CART,appended,5,0.7833333333333333,2050,100,1950
AZ,CART,appended,6,0.7555897435897436,2050,100,1950
AZ,CART,appended,7,0.7753846153846153,2050,100,1950
AZ,CART,appended,8,0.842025641025641,2050,100,1950
AZ,RF,inc-only,1,0.8862564102564102,2050,100,1950
AZ,RF,inc-only,2,0.8831794871794871,2050,100,1950
AZ,RF,inc-only,3,0.896974358974359,2050,100,1950
AZ,RF,inc-only,4,0.9735897435897436,2050,100,1950
AZ,RF,inc-only,5,0.9566666666666667,2050,100,1950
AZ,RF,inc-only,6,0.9622307692307692,2050,100,1950
AZ,RF,inc-only,7,0.9551025641025641,2050,100,1950
AZ,RF,inc-only,8,0.9549487179487179,2050,100,1950
AZ,RF,appended,1,0.9007692307692308,2050,100,1950
AZ,RF,appended,2,0.9127948717948717,2050,100,1950
AZ,RF,appended,3,0.9425384615384615,2050,100,1950
AZ,RF,appended,4,0.9721538461538461,2050,100,1950
AZ,RF,appended,5,0.975,2050,100,1950
AZ,RF,appended,6,0.9785897435897436,2050,100,1950
AZ,RF,appended,7,0.9804871794871794,2050,100,1950
AZ,RF,appended,8,0.9842820512820513,2050,100,1950
AZ,XGB,inc-only,1,0.8716410256410256,2050,100,1950
AZ,XGB,inc-only,2,0.8691538461538462,2050,100,1950
AZ,XGB,inc-only,3,0.8798461538461538,2050,100,1950
AZ,XGB,inc-only,4,0.9640769230769232,2050,100,1950
AZ,XGB,inc-only,5,0.9575384615384616,2050,100,1950
AZ,XGB,inc-only,6,0.9604615384615385,2050,100,1950
AZ,XGB,inc-only,7,0.9394102564102564,2050,100,1950
AZ,XGB,inc-only,8,0.9638461538461539,2050,100,1950
AZ,XGB,appended,1,0.8687179487179487,2050,100,1950
AZ,XGB,appended,2,0.8961025641025642,2050,100,1950
AZ,XGB,appended,3,0.9457435897435897,2050,100,1950
AZ,XGB,appended,4,0.9669743589743589,2050,100,1950
AZ,XGB,appended,5,0.969948717948718,2050,100,1950
AZ,XGB,appended,6,0.9707692307692308,2050,100,1950
AZ,XGB,appended,7,0.9753333333333334,2050,100,1950
AZ,XGB,appended,8,0.975,2050,100,1950
BA,CART,inc-only,1,0.662227564102564,1108,63,1045
BA,CART,inc-only,2,0.6779204822954823,1108,63,1045
BA,CART,inc-only,3,0.7314194139194139,1108,63,1045
BA,CART,inc-only,4,0.7682738095238094,1108,63,1045
